Group ID,Left,Right,Observ 1,Observ 2,Depth,Distance
0,5R7Y,,1,,0,
1,5R7Z,,1,,0,
2,5R80,,1,,0,
3,5R81,,1,,0,
4,5R82,,1,,0,
5,5R83,,1,,0,
6,5R84,,1,,0,
7,5RE4,,1,,0,
8,5RE9,,1,,0,
9,5REB,,1,,0,
10,5REZ,,1,,0,
11,5RF1,,1,,0,
12,5RF6,,1,,0,
13,5RF7,,1,,0,
14,5RFE,,1,,0,
15,5RG1,,1,,0,
16,5RGH,,1,,0,
17,5RGI,,1,,0,
18,5RGK,,1,,0,
19,5RGT,,1,,0,
20,5RGV,,1,,0,
21,5RGW,,1,,0,
22,5RGX,,1,,0,
23,5RGY,,1,,0,
24,5RGZ,,1,,0,
25,5RH0,,1,,0,
26,5RH1,,1,,0,
27,5RH2,,1,,0,
28,5RH3,,1,,0,
29,5RH6,,1,,0,
30,5RH8,,1,,0,
31,5RHD,,1,,0,
32,6M2N,,1,,0,
33,6W63,,1,,0,
34,6WNP,,1,,0,
35,6XFN,,1,,0,
36,7A1U,,1,,0,
37,7ANS,,1,,0,
38,7AP6,,1,,0,
39,7AVD,,1,,0,
40,7AWU,,1,,0,
41,7JU7,,1,,0,
42,7KX5,,1,,0,
43,7L5D,,1,,0,
44,41,43,1,1,1,0.0008310651103872191
45,27,28,1,1,1,0.001390825066115542
46,21,24,1,1,1,0.0031596334428228845
47,19,29,1,1,1,0.0041361554064999195
48,34,47,1,2,2,0.00634611541706398
49,0,8,1,1,1,0.006861753927488223
50,22,46,1,2,2,0.008028183258213417
51,7,20,1,1,1,0.017642148044424877
52,2,3,1,1,1,0.023377150092789956
53,35,48,1,3,3,0.02644484506151934
54,45,50,2,3,3,0.026832763684694005
55,16,49,1,2,2,0.0290919028631208
56,1,10,1,1,1,0.031982735171782295
57,33,42,1,1,1,0.03300515726684228
58,5,25,1,1,1,0.03396047277392944
59,17,18,1,1,1,0.03960306885277065
60,13,51,1,2,2,0.043668526136600216
61,12,31,1,1,1,0.058593260719869256
62,39,55,1,3,3,0.059310720296293584
63,6,57,1,2,2,0.06718326265338359
64,26,58,1,2,2,0.07217431817271447
65,23,52,1,2,2,0.0736598042385902
66,56,65,2,3,3,0.08248198250882655
67,38,44,1,2,2,0.08618101438864634
68,14,63,1,3,3,0.09624388577036169
69,54,60,5,3,4,0.09923788351654328
70,32,62,1,4,4,0.10320855471394119
71,15,59,1,2,2,0.1345697796372154
72,4,61,1,2,2,0.16164450281366016
73,69,71,8,3,5,0.21758078711476803
74,30,68,1,4,4,0.21864284081902774
75,36,72,1,3,3,0.2485891526057462
76,11,66,1,5,4,0.25433482909413885
77,37,53,1,4,4,0.27900173574503273
78,9,70,1,5,5,0.2860147134921087
79,40,73,1,11,6,0.32458393287164433
80,74,75,5,4,5,0.43002550267966333
81,76,78,6,6,6,0.5341723719979103
82,64,79,3,12,7,0.5538628784053328
83,80,81,9,12,7,0.9244837138102355
84,82,83,15,21,8,1.3230774749641663
85,67,77,3,5,5,1.4042903851609172
86,84,85,36,8,9,1.8815517011525649
