Input,5R7Y,5R7Z,5R80,5R81,5R82,5R83,5R84,5RE4,5RE9,5REB,5REZ,5RF1,5RF6,5RF7,5RFE,5RG1,5RGH,5RGI,5RGK,5RGT,5RGV,5RGW,5RGX,5RGY,5RGZ,5RH0,5RH1,5RH2,5RH3,5RH6,5RH8,5RHD,6M2N,6W63,6WNP,6XFN,7A1U,7ANS,7AP6,7AVD,7AWU,7JU7,7KX5,7L5D
5R7Y,1.0000000000000004,0.6056051686542268,0.5562113556838778,0.558278341033487,0.3269237954367806,0.10700275304273275,0.6101211270369761,0.22217402340966463,0.8999653979575207,0.6454775654128869,0.6168840276304185,0.28824397060348583,0.720303587184883,0.4151995247603561,0.457828348768649,-0.00472072360353676,0.832848627563282,0.147248009460997,-0.05124418685853355,0.15222771648246375,0.3115853205272931,0.3218327371566506,0.3319000245252943,0.33895626699640485,0.395132802638736,0.10099553937097125,-0.03817912601513857,0.44122934261199004,0.44136600168425927,0.13812850042596325,0.47119860341614583,0.5119340358739229,0.8329101344652107,0.6923621271611028,0.08608528930684296,-0.05030078406009713,0.4629227536313797,0.34216436767580455,0.004567559171629794,0.7729294445664846,0.08355821146663413,-0.2785985422235281,0.6708493930311733,-0.30971052450343756
5R7Z,0.605605168654227,0.9999999999999989,0.8161290990132334,0.8074981347038523,0.1995749615023497,0.14372357906059297,0.42376604834888476,0.11666375982225828,0.6402593404800392,0.415520674892458,0.770320230442405,0.773104464422064,0.38972131887291284,0.29301036383655144,0.44696407417908995,-0.0007073940472079723,0.6656403506121907,-0.08640661067898758,-0.18889462930249742,0.19057559837681107,0.20436868699185615,0.2984614994615538,0.2102549588646429,0.858676371291513,0.29718559090768504,0.07089270777211401,0.017020243412471006,0.34988285086475907,0.33075006089796577,0.18616039967165618,0.3251241286529989,0.5372270251929181,0.5545654359178989,0.5272298181254418,0.1698157833948955,0.004962645532077848,0.09977299551347796,0.25731641938347083,0.06844500992760638,0.5412243818584518,0.03246600893582623,-0.12815972420964283,0.5562679547103365,-0.13964281190179442
5R80,0.5562113556838784,0.8161290990132333,1.0000000000000002,0.94248905182039,0.2589456388934835,0.15950304172967253,0.48006796041765337,0.25415476203842613,0.6083761472936333,0.29599351418643777,0.6572828757152581,0.8256977648014735,0.38629975105216185,0.3790523061528972,0.6854015850769563,0.27220324652526773,0.6777323576089523,-0.014962061627264198,-0.08105180593190267,0.21666238598834883,0.3116346883549826,0.4975106935977209,0.4031407991020745,0.7114338438020598,0.47322947907823915,0.1404461607948181,0.12004042260608773,0.4582578957704942,0.44198606963559006,0.2086593809451684,0.35068086304656776,0.6085290588208068,0.5210747960720498,0.5578438979582662,0.20094816436430216,0.050999885435629076,-0.042915571344914985,0.210803484676968,-0.012535046369364734,0.5185706084225636,0.12823411153258094,-0.2198397201499896,0.6481128478159717,-0.23066600385007383
5R81,0.5582783410334862,0.8074981347038523,0.9424890518203902,0.9999999999999999,0.16751060679889088,0.3813602022623209,0.5857443515850789,0.3705233544582306,0.6498104058866236,0.43469876781998984,0.6978207349030046,0.8952120867432599,0.3397895698930238,0.49399427805114887,0.6913786941588895,0.26219323648797516,0.7467224817205497,0.06848884425343123,-0.009383114231182835,0.21530897572411994,0.37995578279671205,0.5426219509080923,0.4375601748491822,0.6806399678060763,0.49683478903033745,0.3263982815103583,0.32410785384921725,0.5568756204766937,0.5394318554511516,0.22632003735146836,0.44940763282778395,0.5405976909878731,0.5730496026166125,0.6243444823308079,0.19666075537242886,0.03839872217046885,0.008414709102305898,0.29171992916225437,0.23343610754491925,0.5807514152415018,0.19930976948570941,-0.001428792926788293,0.7155894404532989,-0.01655953026364067
5R82,0.3269237954367807,0.19957496150234993,0.25894563889348393,0.16751060679889082,1,-0.1751529104856578,0.3299945358702695,0.35130816721465663,0.31546178456653284,-0.13412046704491118,0.35556812114575176,-0.14769060456915406,0.47501102753499125,0.32164655248476,0.4930922236831552,0.332820635192337,0.374642604701434,0.11142364388531761,0.0355097725582262,0.10559108949917538,0.307252318347284,0.5545686592852428,0.4746439972506264,0.33664564002967345,0.527727977768626,-0.2103587921975649,-0.2994129707276312,0.3748204342238858,0.3823936567635084,0.06129942899886941,0.2646712571832986,0.5483735116079328,0.37168791931655837,0.35593071324655,0.06876366746572957,0.006475480049770355,0.45000329000034933,-0.08374306719285095,-0.40988316223161575,0.10008783409415511,0.26820266996233805,-0.5767988123050705,0.5342603980365241,-0.5968062622242876
5R83,0.10700275304273302,0.14372357906059283,0.15950304172967256,0.3813602022623211,-0.1751529104856579,0.9999999999999992,0.600321106804993,0.6422306794215372,0.2241607365977825,0.48120904943023635,0.2437560305070169,0.4259897656286859,-0.11957087544461933,0.6685931356116906,0.5183212304238641,0.49935662675281,0.3776403833130404,0.6126026300421327,0.5802699574586304,-0.029848062223830768,0.587606503122838,0.5787612208630821,0.5904635232371612,0.061602553768625994,0.546484911083643,0.8811664340572063,0.7832445929715397,0.6865645504319343,0.6804536935878849,0.043895192630714355,0.5114464979016489,-0.07336830491591809,0.2541321288990608,0.5172635639123684,-0.05605385780239066,-0.09560781043076075,0.11688822697682043,0.29046702770347993,0.8983955709588185,0.2388428139572317,0.28946601180597,0.7215468102447327,0.4698863955965664,0.7024719384543735
5R84,0.6101211270369755,0.42376604834888487,0.4800679604176537,0.5857443515850785,0.32999453587026945,0.6003211068049931,0.9999999999999984,0.849443346663322,0.6344549962565196,0.42485881811198584,0.46423350355953014,0.3456759622136212,0.3851336964380702,0.9140518786974958,0.7008977468938938,0.3988095463218611,0.6560218842543104,0.691768901402447,0.5520775454916523,0.19622605054872785,0.8705532006882358,0.759492211379021,0.7536556550044413,0.2896024123464725,0.7875828283216805,0.6352648459570169,0.5768387742537743,0.9277102019769169,0.9180409260464498,0.2040627131907635,0.7594850559117601,0.3842746883018295,0.6499300022948777,0.899111877043954,0.09666896007179097,0.022330913706151447,0.45246625183305206,0.24470711462261288,0.33496298721869006,0.4595610499616275,0.5879105567094647,-0.00045285565775901994,0.7956737960179737,-0.04300296750824946
5RE4,0.22217402340966477,0.11666375982225824,0.25415476203842585,0.3705233544582303,0.3513081672146567,0.6422306794215364,0.8494433466633217,1.0000000000000009,0.2600703858682814,0.10329299546724323,0.1898799202318381,0.14841988208966564,0.10184572958045918,0.903598674689947,0.6344611204482592,0.6394391847971223,0.3657030775581783,0.7850436408897606,0.7426460380248363,0.14735118650318052,0.8892233658034608,0.84007886292929,0.8249212751341299,0.15716467970925843,0.8169269432409055,0.6940400536985507,0.6263364589121673,0.8980748851049074,0.8951777722457452,0.1707065912090761,0.7255653077425511,0.21119951238416407,0.3992988150712304,0.770291741764249,0.06762259916288502,0.056498702277462634,0.3424391246327367,0.07910520662838455,0.3454582258684087,0.09516708054484736,0.6420447225219343,0.0778536841769274,0.7162307446596972,0.04080965764124095
5RE9,0.8999653979575204,0.6402593404800391,0.6083761472936327,0.6498104058866233,0.3154617845665328,0.22416073659778296,0.6344549962565184,0.2600703858682816,0.9999999999999988,0.7160067768867157,0.7786629350554158,0.4081097606698429,0.7536809028066588,0.47037506579936517,0.5578900108311617,0.03705553994174201,0.8962411599026523,0.12390747854870626,-0.049630170450145276,0.19060321627625093,0.3588161575867705,0.4082124345160085,0.36080634262048183,0.40685394253159174,0.4400289899471957,0.1570582322065823,0.07209754334247223,0.5106764314466831,0.5014165295349953,0.18433101538051677,0.5260304390491465,0.5811180957548657,0.8298387273379108,0.7062668870276047,0.1262517911331785,-0.020321875835999616,0.4867279885722919,0.3911139494587044,0.1394111820669357,0.8859510090932785,0.1364479963097685,-0.1412499055047285,0.6865575190599221,-0.16864716045326547
5REB,0.6454775654128866,0.41552067489245786,0.29599351418643804,0.43469876781999,-0.13412046704491126,0.48120904943023646,0.4248588181119862,0.10329299546724323,0.7160067768867157,0.9999999999999992,0.5014781310932152,0.4006204234985015,0.4399636466883179,0.3165173574803763,0.29274035442494534,-0.08225497806913186,0.7033510865973459,0.08728236602652859,-0.0894867807148288,0.07218290508889479,0.14290372518205552,0.1796917388189651,0.19886898756386048,0.11110253699498773,0.21807076821406862,0.32079329298567216,0.25822994215200934,0.33055246529050625,0.3107890474590225,0.1015512722545724,0.30934782262793,0.07711486228207813,0.6233109841552003,0.45564614348346477,0.0351978680402974,-0.0703980669189179,0.20614553735310037,0.5616405972417164,0.5775289944508772,0.8201834395135988,0.05552191263064898,0.41297879016985745,0.41426447403854477,0.39324547693152123
